Source,Relation,Target
API5,interacts with,SRSF1
ATP6AP2,interacts with,NBEAL1
CEBPG,interacts with,PTPN11
DGCR2,interacts with,PTPN11
DNAJB6,interacts with,RASSF5
G3BP1,interacts with,SRSF4
LMLN,interacts with,PAFAH1B1
MARCH6,interacts with,NBEAL1
MRPL47,interacts with,ATP6V0A1
MRPL47,interacts with,TMEM135
MRPL47,interacts with,DNAJB6
NFE2L2,interacts with,IRF6
PTPN11,interacts with,CSNK2A1
PTPN11,interacts with,NFE2L2
PTPN11,interacts with,RAPGEF6
PTPN11,interacts with,PAPD4
RAPGEF6,interacts with,IRF6
RNF145,interacts with,TRA2A
RNF145,interacts with,PDPK1
RNF145,interacts with,YIPF5
RNF145,interacts with,SZRD1
SCAF4,interacts with,TBRG1
SCAF4,interacts with,SRSF4
SRSF4,interacts with,YIPF5
SRSF4,interacts with,ZNF644
SRSF4,interacts with,SZRD1
SZRD1,interacts with,API5
TMEM135,interacts with,RASSF5
TRA2A,interacts with,PAFAH1B1
YIPF5,interacts with,CDC40
