Gene 1,Gene 2,Weight,Network group,Network
MKLN1,RAB8B,0.015911713,Co-expression,Smirnov-Cheung-2009
MKLN1,CEPT1,0.016395103,Co-expression,Smirnov-Cheung-2009
MKLN1,EIF4EBP2,0.023581963,Co-expression,Smirnov-Cheung-2009
RBBP4,TMEM135,0.016395995,Co-expression,Smirnov-Cheung-2009
TMED2,RBBP4,0.015198145,Co-expression,Smirnov-Cheung-2009
IFNGR1,KLF3,0.006286022,Co-expression,Smirnov-Cheung-2009
CEPT1,RAB8B,0.011954962,Co-expression,Wang-Cheung-2015
DDX3X,UFM1,0.017841652,Co-expression,Wang-Cheung-2015
KMT2A,CEPT1,0.012917085,Co-expression,Wang-Cheung-2015
SNRNP40,CASP2,0.007833838,Co-expression,Wang-Cheung-2015
SNRNP40,SRSF1,0.008489104,Co-expression,Wang-Cheung-2015
SNRNP40,TMED2,0.007089629,Co-expression,Wang-Cheung-2015
IFNGR1,ZNF652,0.007379637,Co-expression,Wang-Cheung-2015
IFNGR1,SPTLC1,0.0095342165,Co-expression,Wang-Cheung-2015
NFS1,USP25,0.009332343,Co-expression,Wang-Cheung-2015
NFS1,IFNGR1,0.0051363627,Co-expression,Wang-Cheung-2015
EIF4E,UFM1,0.013641999,Co-expression,Wang-Cheung-2015
STAT1,EIF4EBP1,0.009106405,Co-expression,Wang-Cheung-2015
MALT1,CD9,0.015890058,Co-expression,Wang-Cheung-2015
SPTLC1,DNAJB6,0.010348653,Co-expression,Bild-Nevins-2006 B
SPTLC1,SPEN,0.008904443,Co-expression,Bild-Nevins-2006 B
MAP3K7,KMT2A,0.009453601,Co-expression,Bild-Nevins-2006 B
CD9,SPTLC1,0.007555693,Co-expression,Bild-Nevins-2006 B
TMED2,CD9,0.013889788,Co-expression,Bild-Nevins-2006 B
SNRNP40,SPEN,0.017596342,Co-expression,Bild-Nevins-2006 B
SRPK2,RBBP4,0.01728066,Co-expression,Bild-Nevins-2006 B
KPNA1,NUP50,0.01745451,Co-expression,Bild-Nevins-2006 B
SFPQ,RBBP4,0.025489524,Co-expression,Bild-Nevins-2006 B
SFPQ,SRSF1,0.015820634,Co-expression,Bild-Nevins-2006 B
MALT1,IFNGR1,0.01441178,Co-expression,Bild-Nevins-2006 B
RBBP4,CASP2,0.014972186,Co-expression,Dobbin-Giordano-2005
SRSF1,RBBP4,0.01787114,Co-expression,Dobbin-Giordano-2005
TMED2,APH1A,0.014989632,Co-expression,Dobbin-Giordano-2005
SNRNP40,RBBP4,0.010021071,Co-expression,Dobbin-Giordano-2005
SNRNP40,SRSF1,0.012434509,Co-expression,Dobbin-Giordano-2005
APH1B,IFNGR1,0.01637729,Co-expression,Dobbin-Giordano-2005
SPTLC2,CD9,0.020781688,Co-expression,Dobbin-Giordano-2005
NFS1,KLF3,0.017926442,Co-expression,Dobbin-Giordano-2005
APH1A,ARPC4,0.011735293,Co-expression,Chen-Brown-2002
CSNK1A1,DNAJB6,0.010548985,Co-expression,Chen-Brown-2002
MAP3K7,CSNK1A1,0.005749037,Co-expression,Chen-Brown-2002
RBBP4,ZNF644,0.017959686,Co-expression,Chen-Brown-2002
IFNGR1,UFM1,0.007921683,Co-expression,Chen-Brown-2002
CRLS1,CHPT1,0.010593868,Co-expression,Chen-Brown-2002
NFS1,CHPT1,0.008689334,Co-expression,Chen-Brown-2002
NFS1,CRLS1,0.013968993,Co-expression,Chen-Brown-2002
STAT1,IFNGR1,0.009766007,Co-expression,Chen-Brown-2002
SFPQ,ZNF644,0.01971253,Co-expression,Chen-Brown-2002
SFPQ,RBBP4,0.022489846,Co-expression,Chen-Brown-2002
SFPQ,SRSF1,0.023193045,Co-expression,Chen-Brown-2002
SRSF1,DDX3X,0.009763125,Co-expression,Wang-Maris-2006
TMED2,EIF4EBP2,0.01913207,Co-expression,Wang-Maris-2006
SNRNP40,RBBP4,0.02019472,Co-expression,Wang-Maris-2006
SFPQ,SPEN,0.015711913,Co-expression,Wang-Maris-2006
PTPN11,DDX3X,0.02665003,Co-expression,Burington-Shaughnessy-2008
MAP3K7,NUP50,0.013047759,Co-expression,Burington-Shaughnessy-2008
SRSF1,NUP50,0.013297108,Co-expression,Burington-Shaughnessy-2008
CDIPT,EIF4EBP1,0.009768606,Co-expression,Burington-Shaughnessy-2008
SFPQ,MAP3K7,0.012302034,Co-expression,Burington-Shaughnessy-2008
NUP50,RASSF5,0.0076472214,Co-expression,Alizadeh-Staudt-2000
CSNK1A1,NUP50,0.0064873025,Co-expression,Alizadeh-Staudt-2000
KMT2A,NUP50,0.009741519,Co-expression,Alizadeh-Staudt-2000
PTPN11,NUP50,0.008227743,Co-expression,Alizadeh-Staudt-2000
TMED2,CSNK1A1,0.02102073,Co-expression,Ramaswamy-Golub-2001
SRPK2,RBBP4,0.009533512,Co-expression,Ramaswamy-Golub-2001
CDIPT,EIF4EBP2,0.021606533,Co-expression,Ramaswamy-Golub-2001
CDIPT,SPTLC1,0.016849097,Co-expression,Ramaswamy-Golub-2001
CDIPT,EPT1,0.010384658,Co-expression,Ramaswamy-Golub-2001
SFPQ,DNAJB6,0.016412623,Co-expression,Ramaswamy-Golub-2001
CSNK1A1,NUP50,0.015869394,Co-expression,Rosenwald-Staudt-2001
PTPN11,NUP50,0.008089448,Co-expression,Rosenwald-Staudt-2001
SPTLC2,MAP3K7,0.018081987,Co-expression,Rosenwald-Staudt-2001
MALT1,RAB8B,0.015203427,Co-expression,Rosenwald-Staudt-2001
DDX3X,DNAJB6,0.027902246,Co-expression,Noble-Diehl-2008
TMED2,CEPT1,0.0066765067,Co-expression,Noble-Diehl-2008
CHPT1,TMEM135,0.009573854,Co-expression,Noble-Diehl-2008
CHPT1,MKLN1,0.008798212,Co-expression,Noble-Diehl-2008
CHPT1,EPT1,0.0077175675,Co-expression,Noble-Diehl-2008
CRLS1,EPT1,0.013420296,Co-expression,Noble-Diehl-2008
CRLS1,CHPT1,0.0045656534,Co-expression,Noble-Diehl-2008
NFS1,CHPT1,0.0055951523,Co-expression,Noble-Diehl-2008
SFPQ,PSPC1,0.011988909,Co-expression,Noble-Diehl-2008
CEPT1,USP25,0.011392764,Co-expression,Innocenti-Brown-2011
MAP3K7,PSPC1,0.008225979,Co-expression,Innocenti-Brown-2011
CD44,RAB8B,0.015356782,Co-expression,Innocenti-Brown-2011
APH1B,CD44,0.010242909,Co-expression,Innocenti-Brown-2011
CHPT1,TMEM135,0.0073947,Co-expression,Innocenti-Brown-2011
CHPT1,CEPT1,0.003730378,Co-expression,Innocenti-Brown-2011
