Gene 1,Gene 2,Weight,Network group,Network
RPS6KB1,MED14,0.019347744,Co-expression,Bahr-Bowler-2013
RBM25,STK4,0.023340788,Co-expression,Bahr-Bowler-2013
PTBP2,NUP58,0.026758846,Co-expression,Bahr-Bowler-2013
RBM39,C5orf24,0.0136218285,Co-expression,Bahr-Bowler-2013
RBM39,NUP58,0.019721866,Co-expression,Bahr-Bowler-2013
RBM39,PTBP2,0.024257796,Co-expression,Bahr-Bowler-2013
RBM26,C5orf24,0.012738799,Co-expression,Bahr-Bowler-2013
RBM26,NUP58,0.015870593,Co-expression,Bahr-Bowler-2013
RBM26,PTBP2,0.019373514,Co-expression,Bahr-Bowler-2013
RBM26,RBM39,0.017867886,Co-expression,Bahr-Bowler-2013
PNISR,C5orf24,0.012580077,Co-expression,Bahr-Bowler-2013
PNISR,RBM25,0.020544361,Co-expression,Bahr-Bowler-2013
PNISR,HNRNPA1,0.01688126,Co-expression,Bahr-Bowler-2013
RSRC2,NUP58,0.01905557,Co-expression,Bahr-Bowler-2013
RSRC2,RBM39,0.026948633,Co-expression,Bahr-Bowler-2013
RSRC2,SRSF10,0.023796318,Co-expression,Bahr-Bowler-2013
TCERG1,C5orf24,0.006252873,Co-expression,Bahr-Bowler-2013
TCERG1,NUP58,0.008118553,Co-expression,Bahr-Bowler-2013
TCERG1,PTBP2,0.009874053,Co-expression,Bahr-Bowler-2013
TCERG1,RBM39,0.008375039,Co-expression,Bahr-Bowler-2013
TCERG1,SRSF10,0.009230427,Co-expression,Bahr-Bowler-2013
TCERG1,RBM26,0.008995003,Co-expression,Bahr-Bowler-2013
TCERG1,PNISR,0.007932024,Co-expression,Bahr-Bowler-2013
PNN,HNRNPA1,0.016947826,Co-expression,Bahr-Bowler-2013
PNN,RBM26,0.016799629,Co-expression,Bahr-Bowler-2013
PNN,PNISR,0.022385562,Co-expression,Bahr-Bowler-2013
PNN,TCERG1,0.007736336,Co-expression,Bahr-Bowler-2013
ZMYM2,C5orf24,0.011022583,Co-expression,Bahr-Bowler-2013
ZMYM2,NUP58,0.013807934,Co-expression,Bahr-Bowler-2013
ZMYM2,PTBP2,0.016463004,Co-expression,Bahr-Bowler-2013
ZMYM2,RBM39,0.012840388,Co-expression,Bahr-Bowler-2013
ZMYM2,RBM26,0.012749293,Co-expression,Bahr-Bowler-2013
ZMYM2,TCERG1,0.0064590136,Co-expression,Bahr-Bowler-2013
OTUD4,C5orf24,0.011729576,Co-expression,Bahr-Bowler-2013
OTUD4,RPS6KB1,0.018701693,Co-expression,Bahr-Bowler-2013
OTUD4,NUP58,0.01458158,Co-expression,Bahr-Bowler-2013
OTUD4,PTBP2,0.016934063,Co-expression,Bahr-Bowler-2013
OTUD4,TCERG1,0.007484394,Co-expression,Bahr-Bowler-2013
ESF1,STK4,0.010670243,Co-expression,Bahr-Bowler-2013
ESF1,RBM25,0.012695501,Co-expression,Bahr-Bowler-2013
ESF1,NAA15,0.011221487,Co-expression,Bahr-Bowler-2013
ESF1,BBX,0.01075168,Co-expression,Bahr-Bowler-2013
ESF1,RSRC2,0.010569666,Co-expression,Bahr-Bowler-2013
LUC7L3,RBM25,0.019135505,Co-expression,Bahr-Bowler-2013
LUC7L3,PNISR,0.02111812,Co-expression,Bahr-Bowler-2013
LUC7L3,PNN,0.018073408,Co-expression,Bahr-Bowler-2013
NAA15,RBM25,0.0127523085,Co-expression,Smirnov-Cheung-2009
NAA15,SRSF1,0.015408126,Co-expression,Smirnov-Cheung-2009
NUP58,RBM25,0.01105098,Co-expression,Smirnov-Cheung-2009
EZR,NAA15,0.011878868,Co-expression,Smirnov-Cheung-2009
BBX,MED14,0.02056735,Co-expression,Smirnov-Cheung-2009
TMED2,RPS6KB1,0.013960376,Co-expression,Smirnov-Cheung-2009
